tau,s_tmp,cash,delta,pv,r_for,q,PL,,
0_2-th Autocalled,297.477,1.04962,0,1.046,,,0.00362213,0.01562213,1
0_1-th Autocalled,297.553,1.01851,0,1.023,,,-0.00449233,0.00750767,1
0_3-th Autocalled,306.931,1.07796,0,1.069,,,0.00895627,0.02095627,1
1_6-th Autocalled,148.941,0.000476814,0.00336451,0.501114,,,0.000476814,0.012476814,1
0_3-th Autocalled,272.82,1.06437,0,1.069,,,-0.00463383,0.00736617,1
0_1-th Autocalled,295.898,1.02109,0,1.023,,,-0.00191256,0.01008744,1
0_1-th Autocalled,285.765,1.02776,0,1.023,,,0.00475993,0.01675993,1
1_6-th Autocalled,157.541,-0.00403588,0.00336451,0.530049,,,-0.00403588,0.00796412,1
0_1-th Autocalled,353.916,1.02292,0,1.023,,,-7.74E-05,0.011922614,1
0_1-th Autocalled,304.542,1.02069,0,1.023,,,-0.00230898,0.00969102,1
0_2-th Autocalled,313.053,1.04918,0,1.046,,,0.0031776,0.0151776,1
0_1-th Autocalled,300.662,1.02107,0,1.023,,,-0.00193346,0.01006654,1
0_1-th Autocalled,312.9,1.02297,0,1.023,,,-3.41E-05,0.011965935,1
0_2-th Autocalled,291.456,1.05292,0,1.046,,,0.00692129,0.01892129,1
0_1-th Autocalled,315.058,1.02485,0,1.023,,,0.00185427,0.01385427,1
0_6-th Autocalled,225.177,1.15525,0,1.138,,,0.0172521,0.0292521,1
0_1-th Autocalled,307.019,1.02054,0,1.023,,,-0.00246434,0.00953566,1
0_3-th Autocalled,274.825,1.06856,0,1.069,,,-0.00044067,0.01155933,1
0_1-th Autocalled,285.713,1.02512,0,1.023,,,0.00211683,0.01411683,1
1_6-th Autocalled,162.928,-0.0617356,0.00336451,0.548173,,,-0.0617356,-0.0497356,0
0_1-th Autocalled,303.254,1.0229,0,1.023,,,-0.000100772,0.011899228,1
0_1-th Autocalled,303.294,1.02355,0,1.023,,,0.000551654,0.012551654,1
0_1-th Autocalled,306.346,1.02611,0,1.023,,,0.00310755,0.01510755,1
0_4-th Autocalled,275.024,1.09743,0,1.092,,,0.00542629,0.01742629,1
0_2-th Autocalled,291.774,1.04471,0,1.046,,,-0.00129157,0.01070843,1
1_6-th Autocalled,242.58,-0.00822611,0.00336451,0.816165,,,-0.00822611,0.00377389,1
0_1-th Autocalled,288.115,1.02515,0,1.023,,,0.0021502,0.0141502,1
0_6-th Autocalled,194.128,1.08287,0,1.138,,,-0.0551297,-0.0431297,0
0_1-th Autocalled,350.465,1.02189,0,1.023,,,-0.00111292,0.01088708,1
0_6-th Autocalled,184.918,1.13139,0,1.138,,,-0.00661057,0.00538943,1
0_3-th Autocalled,282.063,1.07287,0,1.069,,,0.00387119,0.01587119,1
1_6-th Autocalled,168.219,-0.0065399,0.00336451,0.565973,,,-0.0065399,0.0054601,1
0_2-th Autocalled,310.014,1.0459,0,1.046,,,-9.82E-05,0.011901802,1
0_1-th Autocalled,334.403,1.0278,0,1.023,,,0.00479908,0.01679908,1
0_1-th Autocalled,303.895,1.02102,0,1.023,,,-0.00198096,0.01001904,1
0_1-th Autocalled,307.64,1.02283,0,1.023,,,-0.000165313,0.011834687,1
0_1-th Autocalled,291.025,1.02304,0,1.023,,,4.25E-05,0.012042545,1
0_1-th Autocalled,302.58,1.02382,0,1.023,,,0.000823595,0.012823595,1
0_2-th Autocalled,320.861,1.05169,0,1.046,,,0.00569059,0.01769059,1
0_1-th Autocalled,289.485,1.02744,0,1.023,,,0.00443946,0.01643946,1
0_1-th Autocalled,323.47,1.02299,0,1.023,,,-1.07E-05,0.011989287,1
0_1-th Autocalled,284.313,-0.522321,0.00540837,1.023,,,-0.00765216,0.00434784,1
0_1-th Autocalled,312.768,1.01915,0,1.023,,,-0.00384892,0.00815108,1
0_1-th Autocalled,293.83,1.02379,0,1.023,,,0.000786291,0.012786291,1
0_1-th Autocalled,308.614,1.02114,0,1.023,,,-0.00186053,0.01013947,1
0_1-th Autocalled,307.608,1.02863,0,1.023,,,0.00562911,0.01762911,1
0_2-th Autocalled,327.71,1.0463,0,1.046,,,0.00030112,0.01230112,1
1_6-th Autocalled,201.598,0.0193715,0.00336451,0.67828,,,0.0193715,0.0313715,1
0_2-th Autocalled,304.765,1.04211,0,1.046,,,-0.00388815,0.00811185,1
0_1-th Autocalled,283.72,-0.517638,0.00540837,1.023,,,-0.00617553,0.00582447,1
0_6-th Autocalled,263.88,1.14035,0,1.138,,,0.00234916,0.01434916,1
0_2-th Autocalled,304.527,1.04353,0,1.046,,,-0.00246708,0.00953292,1
0_6-th Autocalled,194.391,1.14485,0,1.138,,,0.00684597,0.01884597,1
0_6-th Autocalled,187.735,1.1837,0,1.138,,,0.0457013,0.0577013,1
0_3-th Autocalled,313.821,1.06123,0,1.069,,,-0.00777103,0.00422897,1
0_1-th Autocalled,327.27,1.02311,0,1.023,,,0.000105926,0.012105926,1
0_1-th Autocalled,317.179,1.01977,0,1.023,,,-0.00323272,0.00876728,1
0_1-th Autocalled,311.758,1.02019,0,1.023,,,-0.00280787,0.00919213,1
0_1-th Autocalled,289.357,1.02548,0,1.023,,,0.0024754,0.0144754,1
0_2-th Autocalled,322.05,1.05171,0,1.046,,,0.00571361,0.01771361,1
0_1-th Autocalled,370.329,1.02445,0,1.023,,,0.00145314,0.01345314,1
0_1-th Autocalled,322.621,1.03056,0,1.023,,,0.00756238,0.01956238,1
0_4-th Autocalled,306.796,1.086,0,1.092,,,-0.00600416,0.00599584,1
0_1-th Autocalled,306.894,1.02369,0,1.023,,,0.00069091,0.01269091,1
0_1-th Autocalled,309.421,1.02214,0,1.023,,,-0.000859853,0.011140147,1
0_6-th Autocalled,204.518,1.14135,0,1.138,,,0.0033538,0.0153538,1
0_1-th Autocalled,299.911,1.02484,0,1.023,,,0.00183906,0.01383906,1
0_4-th Autocalled,269.424,1.72407,-0.00234428,1.092,,,0.000462203,0.012462203,1
0_5-th Autocalled,261.763,1.12716,0,1.115,,,0.0121557,0.0241557,1
0_1-th Autocalled,309.275,1.0263,0,1.023,,,0.00329972,0.01529972,1
0_1-th Autocalled,299.368,1.0223,0,1.023,,,-0.000698582,0.011301418,1
0_1-th Autocalled,333.636,1.02339,0,1.023,,,0.000385691,0.012385691,1
0_1-th Autocalled,332.04,1.02041,0,1.023,,,-0.00258565,0.00941435,1
0_1-th Autocalled,334.471,1.0212,0,1.023,,,-0.00180459,0.01019541,1
0_1-th Autocalled,325.779,1.02252,0,1.023,,,-0.000478288,0.011521712,1
0_3-th Autocalled,282.695,1.06932,0,1.069,,,0.000316258,0.012316258,1
0_6-th Autocalled,208.874,1.13535,0,1.138,,,-0.00264858,0.00935142,1
0_6-th Autocalled,227.928,1.12634,0,1.138,,,-0.0116622,0.0003378,1
0_6-th Autocalled,237.107,1.1368,0,1.138,,,-0.00119652,0.01080348,1
0_1-th Autocalled,297.069,1.02994,0,1.023,,,0.00694112,0.01894112,1
0_1-th Autocalled,297.09,1.01935,0,1.023,,,-0.00364563,0.00835437,1
0_1-th Autocalled,343.745,1.0232,0,1.023,,,0.000195657,0.012195657,1
0_1-th Autocalled,305.175,1.0204,0,1.023,,,-0.00259794,0.00940206,1
0_2-th Autocalled,313.349,1.05072,0,1.046,,,0.00472386,0.01672386,1
0_1-th Autocalled,315.533,1.02263,0,1.023,,,-0.000365917,0.011634083,1
0_1-th Autocalled,301.602,1.02427,0,1.023,,,0.00126732,0.01326732,1
0_1-th Autocalled,361.646,1.02456,0,1.023,,,0.00156437,0.01356437,1
0_1-th Autocalled,283.235,-0.522844,0.00540837,1.023,,,-0.0140038,-0.0020038,0
1_6-th Autocalled,144.192,-0.0066516,0.00336451,0.485137,,,-0.0066516,0.0053484,1
0_1-th Autocalled,298.851,1.0266,0,1.023,,,0.00360222,0.01560222,1
0_1-th Autocalled,284.294,-0.514705,0.00540837,1.023,,,-0.000135458,0.011864542,1
0_2-th Autocalled,288.256,1.04235,0,1.046,,,-0.00364597,0.00835403,1
0_2-th Autocalled,300.585,1.04762,0,1.046,,,0.00162386,0.01362386,1
0_1-th Autocalled,289.524,1.01781,0,1.023,,,-0.00519357,0.00680643,1
0_1-th Autocalled,315.487,1.0237,0,1.023,,,0.000704697,0.012704697,1
0_1-th Autocalled,303.828,1.02207,0,1.023,,,-0.000933485,0.011066515,1
0_2-th Autocalled,303.762,1.04635,0,1.046,,,0.000349684,0.012349684,1
1_6-th Autocalled,226.756,-0.00316006,0.00336451,0.762923,,,-0.00316006,0.00883994,1
0_1-th Autocalled,295.316,1.02329,0,1.023,,,0.00029128,0.01229128,1
0_1-th Autocalled,312.515,1.02249,0,1.023,,,-0.000510393,0.011489607,1
1_6-th Autocalled,146.032,0.00491012,0.00336451,0.491327,,,0.00491012,0.01691012,1
0_3-th Autocalled,286.444,1.06593,0,1.069,,,-0.0030727,0.0089273,1
1_6-th Autocalled,186.259,-0.00334339,0.00336451,0.626672,,,-0.00334339,0.00865661,1
0_1-th Autocalled,298.971,1.02039,0,1.023,,,-0.00261332,0.00938668,1
0_1-th Autocalled,335.179,1.02141,0,1.023,,,-0.00159238,0.01040762,1
0_1-th Autocalled,329.48,1.02306,0,1.023,,,6.46E-05,0.012064627,1
0_1-th Autocalled,301.368,1.02336,0,1.023,,,0.000359488,0.012359488,1
0_6-th Autocalled,257.393,1.12972,0,1.138,,,-0.00827777,0.00372223,1
0_1-th Autocalled,291.471,1.02415,0,1.023,,,0.00114707,0.01314707,1
0_3-th Autocalled,286.153,1.06446,0,1.069,,,-0.00454437,0.00745563,1
0_4-th Autocalled,272.549,1.08675,0,1.092,,,-0.00524669,0.00675331,1
0_1-th Autocalled,298.119,1.02383,0,1.023,,,0.000825039,0.012825039,1
0_1-th Autocalled,306.112,1.02221,0,1.023,,,-0.00078802,0.01121198,1
0_1-th Autocalled,294.907,1.02228,0,1.023,,,-0.000720002,0.011279998,1
0_1-th Autocalled,321.447,1.0275,0,1.023,,,0.00449546,0.01649546,1
0_1-th Autocalled,289.563,1.01278,0,1.023,,,-0.0102218,0.0017782,1
0_2-th Autocalled,341.78,1.04497,0,1.046,,,-0.00102965,0.01097035,1
0_2-th Autocalled,289.294,1.04545,0,1.046,,,-0.00054712,0.01145288,1
0_1-th Autocalled,289.625,1.02385,0,1.023,,,0.000853806,0.012853806,1
0_1-th Autocalled,378.827,1.02305,0,1.023,,,4.72E-05,0.012047188,1
0_1-th Autocalled,321.784,1.02323,0,1.023,,,0.000225029,0.012225029,1
1_6-th Autocalled,213.636,-0.0620938,0.00336451,0.71878,,,-0.0620938,-0.0500938,0
0_1-th Autocalled,324.474,1.02325,0,1.023,,,0.000248373,0.012248373,1
0_1-th Autocalled,296.858,1.02456,0,1.023,,,0.0015569,0.0135569,1
0_1-th Autocalled,328.509,1.02331,0,1.023,,,0.000308161,0.012308161,1
0_1-th Autocalled,288.406,1.02537,0,1.023,,,0.00237253,0.01437253,1
0_5-th Autocalled,262.97,1.11082,0,1.115,,,-0.00418316,0.00781684,1
0_1-th Autocalled,306.464,1.02307,0,1.023,,,7.31E-05,0.012073122,1
1_6-th Autocalled,173.231,-0.0108971,0.00336451,0.582838,,,-0.0108971,0.0011029,1
1_6-th Autocalled,159.673,0.0182219,0.00336451,0.537221,,,0.0182219,0.0302219,1
0_1-th Autocalled,332.384,1.02358,0,1.023,,,0.000577186,0.012577186,1
1_6-th Autocalled,187.572,-0.0099015,0.00336451,0.631088,,,-0.0099015,0.0020985,1
0_1-th Autocalled,313.093,1.02532,0,1.023,,,0.0023193,0.0143193,1
0_1-th Autocalled,339.591,1.02131,0,1.023,,,-0.00169496,0.01030504,1
0_6-th Autocalled,216.03,1.14202,0,1.138,,,0.00401501,0.01601501,1
0_1-th Autocalled,309.25,1.02679,0,1.023,,,0.00379492,0.01579492,1
0_1-th Autocalled,338.756,1.02533,0,1.023,,,0.0023345,0.0143345,1
1_6-th Autocalled,204.589,0.00603893,0.00336451,0.688342,,,0.00603893,0.01803893,1
0_1-th Autocalled,312.3,1.02316,0,1.023,,,0.000156576,0.012156576,1
0_1-th Autocalled,312.848,1.02229,0,1.023,,,-0.000706687,0.011293313,1
0_1-th Autocalled,294.971,1.02222,0,1.023,,,-0.000776905,0.011223095,1
0_1-th Autocalled,299.276,1.0212,0,1.023,,,-0.00179653,0.01020347,1
0_2-th Autocalled,291.289,1.04417,0,1.046,,,-0.00183215,0.01016785,1
0_1-th Autocalled,310.462,1.02426,0,1.023,,,0.00126201,0.01326201,1
0_5-th Autocalled,277.104,1.11627,0,1.115,,,0.001272,0.013272,1
0_1-th Autocalled,314.595,1.02357,0,1.023,,,0.00056915,0.01256915,1
0_1-th Autocalled,333.144,1.02466,0,1.023,,,0.00165548,0.01365548,1
0_1-th Autocalled,331.511,1.02758,0,1.023,,,0.00458422,0.01658422,1
1_6-th Autocalled,132.807,-0.00385584,0.00336451,0.446832,,,-0.00385584,0.00814416,1
0_1-th Autocalled,324.969,1.02332,0,1.023,,,0.000324229,0.012324229,1
0_1-th Autocalled,319.044,1.0202,0,1.023,,,-0.00279797,0.00920203,1
1_6-th Autocalled,252.791,-23.6932,0.0985802,1.138,,,0.0890183,0.1010183,1
0_1-th Autocalled,313.126,1.02368,0,1.023,,,0.000676802,0.012676802,1
0_1-th Autocalled,288.336,1.01581,0,1.023,,,-0.00719285,0.00480715,1
0_2-th Autocalled,344.757,1.03946,0,1.046,,,-0.00653799,0.00546201,1
0_1-th Autocalled,325.54,1.02249,0,1.023,,,-0.000513538,0.011486462,1
0_1-th Autocalled,292.808,1.0234,0,1.023,,,0.00039549,0.01239549,1
0_1-th Autocalled,299.7,1.01513,0,1.023,,,-0.00787247,0.00412753,1
0_1-th Autocalled,299.249,1.021,0,1.023,,,-0.00200326,0.00999674,1
0_1-th Autocalled,318.755,1.02708,0,1.023,,,0.00407818,0.01607818,1
0_1-th Autocalled,294.22,1.02178,0,1.023,,,-0.00122306,0.01077694,1
0_3-th Autocalled,293.692,1.06691,0,1.069,,,-0.00208552,0.00991448,1
0_1-th Autocalled,295.455,1.025,0,1.023,,,0.00199968,0.01399968,1
1_6-th Autocalled,240.358,-0.0115787,0.00336451,0.808687,,,-0.0115787,0.0004213,1
0_1-th Autocalled,304.538,1.0188,0,1.023,,,-0.00420068,0.00779932,1
0_3-th Autocalled,286.129,1.0706,0,1.069,,,0.00159682,0.01359682,1
0_1-th Autocalled,302.431,1.02687,0,1.023,,,0.00387057,0.01587057,1
0_1-th Autocalled,357.54,1.02113,0,1.023,,,-0.00186596,0.01013404,1
0_1-th Autocalled,294.225,1.02178,0,1.023,,,-0.00121856,0.01078144,1
0_1-th Autocalled,303.955,1.02454,0,1.023,,,0.00153558,0.01353558,1
1_6-th Autocalled,142.124,-0.00539554,0.00336451,0.478179,,,-0.00539554,0.00660446,1
0_4-th Autocalled,291.185,1.08898,0,1.092,,,-0.00301552,0.00898448,1
1_6-th Autocalled,143.472,-0.0189154,0.00336451,0.482712,,,-0.0189154,-0.0069154,0
0_1-th Autocalled,318.833,1.02711,0,1.023,,,0.00410919,0.01610919,1
0_2-th Autocalled,331.502,1.04445,0,1.046,,,-0.00154612,0.01045388,1
0_6-th Autocalled,204.57,1.12771,0,1.138,,,-0.010288,0.001712,1
0_6-th Autocalled,237.533,1.13496,0,1.138,,,-0.00304291,0.00895709,1
0_1-th Autocalled,288.201,1.01526,0,1.023,,,-0.00773513,0.00426487,1
0_1-th Autocalled,390.062,1.02656,0,1.023,,,0.00356115,0.01556115,1
0_1-th Autocalled,296.488,1.0208,0,1.023,,,-0.00220169,0.00979831,1
0_1-th Autocalled,315.529,1.02213,0,1.023,,,-0.000868867,0.011131133,1
0_1-th Autocalled,312.801,1.02436,0,1.023,,,0.00136273,0.01336273,1
0_1-th Autocalled,305.446,1.0226,0,1.023,,,-0.000399366,0.011600634,1
0_1-th Autocalled,317.198,1.0241,0,1.023,,,0.00109827,0.01309827,1
0_1-th Autocalled,306.633,1.02107,0,1.023,,,-0.00192745,0.01007255,1
0_1-th Autocalled,302.324,1.02559,0,1.023,,,0.00259111,0.01459111,1
0_4-th Autocalled,325.874,1.08655,0,1.092,,,-0.00545403,0.00654597,1
0_1-th Autocalled,302.928,1.02065,0,1.023,,,-0.00234557,0.00965443,1
0_1-th Autocalled,319.67,1.02225,0,1.023,,,-0.000745015,0.011254985,1
0_1-th Autocalled,299.874,1.01905,0,1.023,,,-0.00394757,0.00805243,1
1_6-th Autocalled,180.188,-0.00725304,0.00336451,0.606245,,,-0.00725304,0.00474696,1
0_1-th Autocalled,310.363,1.02006,0,1.023,,,-0.00294044,0.00905956,1
0_1-th Autocalled,294.248,1.02401,0,1.023,,,0.00101429,0.01301429,1
0_3-th Autocalled,362.967,1.07014,0,1.069,,,0.00114403,0.01314403,1
0_4-th Autocalled,318.026,1.09664,0,1.092,,,0.00464316,0.01664316,1
0_2-th Autocalled,292.7,1.04076,0,1.046,,,-0.00523698,0.00676302,1
0_1-th Autocalled,304.519,1.02622,0,1.023,,,0.00322468,0.01522468,1
0_1-th Autocalled,292.273,1.02185,0,1.023,,,-0.00115369,0.01084631,1
0_1-th Autocalled,288.178,1.0185,0,1.023,,,-0.00450234,0.00749766,1
0_1-th Autocalled,307.864,1.01807,0,1.023,,,-0.00493283,0.00706717,1
1_6-th Autocalled,149.594,-0.00417242,0.00336451,0.503312,,,-0.00417242,0.00782758,1
0_6-th Autocalled,182.334,1.11383,0,1.138,,,-0.0241679,-0.0121679,0
0_1-th Autocalled,300.538,1.02451,0,1.023,,,0.00151482,0.01351482,1
0_1-th Autocalled,290.532,1.02479,0,1.023,,,0.00179412,0.01379412,1
1_6-th Autocalled,126.773,-0.00854901,0.00336451,0.426529,,,-0.00854901,0.00345099,1
0_1-th Autocalled,301.095,1.02596,0,1.023,,,0.00296346,0.01496346,1
0_1-th Autocalled,311.884,1.02224,0,1.023,,,-0.00076111,0.01123889,1
0_2-th Autocalled,299.194,1.04484,0,1.046,,,-0.0011576,0.0108424,1
0_1-th Autocalled,305.877,1.0208,0,1.023,,,-0.00219776,0.00980224,1
0_6-th Autocalled,232.253,1.14647,0,1.138,,,0.00847446,0.02047446,1
0_2-th Autocalled,301.609,1.03998,0,1.046,,,-0.00602228,0.00597772,1
0_1-th Autocalled,385.738,1.02457,0,1.023,,,0.00156573,0.01356573,1
0_1-th Autocalled,307.991,1.02313,0,1.023,,,0.000131581,0.012131581,1
0_1-th Autocalled,307.732,1.01742,0,1.023,,,-0.00557949,0.00642051,1
0_1-th Autocalled,312.528,1.0213,0,1.023,,,-0.00169503,0.01030497,1
0_3-th Autocalled,314.208,1.08136,0,1.069,,,0.0123605,0.0243605,1
0_1-th Autocalled,292.016,1.02438,0,1.023,,,0.00137569,0.01337569,1
0_1-th Autocalled,288.408,1.01873,0,1.023,,,-0.00427176,0.00772824,1
0_1-th Autocalled,387.312,1.02236,0,1.023,,,-0.000641743,0.011358257,1
0_1-th Autocalled,354.231,1.02239,0,1.023,,,-0.000610635,0.011389365,1
0_1-th Autocalled,338.043,1.02269,0,1.023,,,-0.000314625,0.011685375,1
0_1-th Autocalled,320.366,1.02393,0,1.023,,,0.000928021,0.012928021,1
0_5-th Autocalled,304.805,1.11264,0,1.115,,,-0.00236133,0.00963867,1
0_1-th Autocalled,358.286,1.02179,0,1.023,,,-0.00120951,0.01079049,1
0_2-th Autocalled,287.099,1.05102,0,1.046,,,0.00501566,0.01701566,1
0_1-th Autocalled,296.978,1.02804,0,1.023,,,0.00504023,0.01704023,1
1_6-th Autocalled,212.157,-0.00418179,0.00336451,0.713806,,,-0.00418179,0.00781821,1
0_3-th Autocalled,291.247,1.07441,0,1.069,,,0.00541017,0.01741017,1
0_1-th Autocalled,314.154,1.02711,0,1.023,,,0.00410514,0.01610514,1
0_5-th Autocalled,255.312,1.13069,0,1.115,,,0.015685,0.027685,1
0_4-th Autocalled,285.608,1.10553,0,1.092,,,0.0135326,0.0255326,1
0_1-th Autocalled,287.312,1.01496,0,1.023,,,-0.00804448,0.00395552,1
0_2-th Autocalled,294.039,1.04074,0,1.046,,,-0.00526303,0.00673697,1
0_1-th Autocalled,300.906,1.01952,0,1.023,,,-0.00348457,0.00851543,1
0_1-th Autocalled,285.981,1.01113,0,1.023,,,-0.0118748,0.0001252,1
0_1-th Autocalled,347.801,1.0226,0,1.023,,,-0.000400325,0.011599675,1
0_1-th Autocalled,324.145,1.02703,0,1.023,,,0.00403296,0.01603296,1
0_1-th Autocalled,321.423,1.02113,0,1.023,,,-0.00186865,0.01013135,1
0_2-th Autocalled,287.109,1.04859,0,1.046,,,0.00259084,0.01459084,1
0_1-th Autocalled,297.342,1.01911,0,1.023,,,-0.00389303,0.00810697,1
0_1-th Autocalled,351.038,1.02207,0,1.023,,,-0.000930009,0.011069991,1
0_5-th Autocalled,285.702,1.1208,0,1.115,,,0.00580308,0.01780308,1
0_1-th Autocalled,300.373,1.02347,0,1.023,,,0.000470814,0.012470814,1
0_1-th Autocalled,332.185,1.02184,0,1.023,,,-0.0011592,0.0108408,1
0_1-th Autocalled,308.769,1.0268,0,1.023,,,0.00380341,0.01580341,1
0_1-th Autocalled,313.842,1.0246,0,1.023,,,0.00159556,0.01359556,1
0_4-th Autocalled,300.154,1.09889,0,1.092,,,0.00689125,0.01889125,1
0_2-th Autocalled,299.442,1.03643,0,1.046,,,-0.00956863,0.00243137,1
0_1-th Autocalled,282.591,-0.728036,0.00615657,1.023,,,-0.0112458,0.0007542,1
0_3-th Autocalled,267.758,0.232154,0.00310768,1.069,,,-0.00474032,0.00725968,1
0_2-th Autocalled,305.401,1.04345,0,1.046,,,-0.00254567,0.00945433,1
0_1-th Autocalled,336.322,1.02115,0,1.023,,,-0.00184686,0.01015314,1
0_1-th Autocalled,315.162,1.02256,0,1.023,,,-0.000439684,0.011560316,1
0_1-th Autocalled,308.959,1.02476,0,1.023,,,0.00175545,0.01375545,1
0_3-th Autocalled,285.411,1.06457,0,1.069,,,-0.00443258,0.00756742,1
0_1-th Autocalled,307.254,1.02358,0,1.023,,,0.000581253,0.012581253,1
0_1-th Autocalled,283.351,-0.521815,0.00540837,1.023,,,-0.0123472,-0.0003472,0
0_1-th Autocalled,295.753,1.02215,0,1.023,,,-0.000853273,0.011146727,1
0_2-th Autocalled,313.879,1.04681,0,1.046,,,0.000806712,0.012806712,1
0_1-th Autocalled,311.355,1.02504,0,1.023,,,0.00204461,0.01404461,1
0_6-th Autocalled,223.722,1.13421,0,1.138,,,-0.00379154,0.00820846,1
1_6-th Autocalled,165.878,-0.00701448,0.00336451,0.5581,,,-0.00701448,0.00498552,1
1_6-th Autocalled,184.797,-0.0124501,0.00336451,0.621751,,,-0.0124501,-0.0004501,0
0_1-th Autocalled,353.794,1.02333,0,1.023,,,0.000330367,0.012330367,1
1_6-th Autocalled,164.778,0.000368176,0.00336451,0.554398,,,0.000368176,0.012368176,1
0_2-th Autocalled,323.903,1.04224,0,1.046,,,-0.00376054,0.00823946,1
0_1-th Autocalled,302.36,1.01988,0,1.023,,,-0.00311964,0.00888036,1
0_1-th Autocalled,317.415,1.02373,0,1.023,,,0.000734263,0.012734263,1
0_1-th Autocalled,299.051,1.02251,0,1.023,,,-0.000485386,0.011514614,1
0_2-th Autocalled,287.798,1.04631,0,1.046,,,0.000313486,0.012313486,1
0_2-th Autocalled,302.751,1.0575,0,1.046,,,0.0115036,0.0235036,1
1_6-th Autocalled,185.921,-0.000513797,0.00336451,0.625534,,,-0.000513797,0.011486203,1
0_6-th Autocalled,252.252,1.13711,0,1.138,,,-0.000891312,0.011108688,1
0_1-th Autocalled,316.043,1.01968,0,1.023,,,-0.00332079,0.00867921,1
0_1-th Autocalled,309.609,1.0183,0,1.023,,,-0.00469999,0.00730001,1
0_1-th Autocalled,326.468,1.02114,0,1.023,,,-0.00186453,0.01013547,1
0_1-th Autocalled,296.161,1.0269,0,1.023,,,0.0038969,0.0158969,1
0_1-th Autocalled,337.066,1.02292,0,1.023,,,-8.12E-05,0.011918788,1
0_1-th Autocalled,348.225,1.02133,0,1.023,,,-0.00166975,0.01033025,1
0_3-th Autocalled,302.908,1.06965,0,1.069,,,0.000653524,0.012653524,1
0_1-th Autocalled,342.711,1.02411,0,1.023,,,0.00111182,0.01311182,1
0_2-th Autocalled,306.477,1.04893,0,1.046,,,0.00292766,0.01492766,1
0_5-th Autocalled,260.891,1.12103,0,1.115,,,0.00603149,0.01803149,1
0_1-th Autocalled,287.991,1.02498,0,1.023,,,0.00197829,0.01397829,1
0_1-th Autocalled,359.089,1.0196,0,1.023,,,-0.00339926,0.00860074,1
1_6-th Autocalled,264.221,1.17957,0,1.138,,,0.0415673,0.0535673,1
0_1-th Autocalled,316.262,1.02593,0,1.023,,,0.00293268,0.01493268,1
0_1-th Autocalled,308.676,1.01839,0,1.023,,,-0.00460895,0.00739105,1
0_1-th Autocalled,337.091,1.02163,0,1.023,,,-0.00137241,0.01062759,1
0_1-th Autocalled,316.72,1.02331,0,1.023,,,0.000307038,0.012307038,1
0_1-th Autocalled,331.1,1.02605,0,1.023,,,0.00304626,0.01504626,1
0_1-th Autocalled,293.787,1.02067,0,1.023,,,-0.00232808,0.00967192,1
0_1-th Autocalled,299.828,1.0187,0,1.023,,,-0.00430127,0.00769873,1
0_1-th Autocalled,298.503,1.02681,0,1.023,,,0.00380698,0.01580698,1
0_1-th Autocalled,309.942,1.02292,0,1.023,,,-7.85E-05,0.011921477,1
0_2-th Autocalled,303.345,1.03849,0,1.046,,,-0.0075094,0.0044906,1
0_1-th Autocalled,291.639,1.02288,0,1.023,,,-0.000123404,0.011876596,1
0_6-th Autocalled,215.466,1.15468,0,1.138,,,0.0166788,0.0286788,1
0_1-th Autocalled,303.437,1.02467,0,1.023,,,0.00167443,0.01367443,1
0_2-th Autocalled,327.965,1.06015,0,1.046,,,0.0141523,0.0261523,1
0_4-th Autocalled,281.6,1.09045,0,1.092,,,-0.00154794,0.01045206,1
1_6-th Autocalled,138.748,-0.00422263,0.00336451,0.466819,,,-0.00422263,0.00777737,1
1_6-th Autocalled,199.561,-0.00939482,0.00336451,0.671424,,,-0.00939482,0.00260518,1
0_1-th Autocalled,346.879,1.02293,0,1.023,,,-6.68E-05,0.011933154,1
0_5-th Autocalled,264.258,1.09954,0,1.115,,,-0.0154561,-0.0034561,0
1_6-th Autocalled,165.337,-0.000306201,0.00336451,0.556279,,,-0.000306201,0.011693799,1
0_1-th Autocalled,315.597,1.02509,0,1.023,,,0.00208994,0.01408994,1
0_1-th Autocalled,317.332,1.02883,0,1.023,,,0.00583334,0.01783334,1
0_1-th Autocalled,299.801,1.02314,0,1.023,,,0.000137127,0.012137127,1
1_6-th Autocalled,148.964,0.00434913,0.00336451,0.50119,,,0.00434913,0.01634913,1
0_1-th Autocalled,306.15,1.02277,0,1.023,,,-0.000226447,0.011773553,1
0_2-th Autocalled,348.387,1.04335,0,1.046,,,-0.00265169,0.00934831,1
0_1-th Autocalled,290.471,1.02503,0,1.023,,,0.00203058,0.01403058,1
0_1-th Autocalled,320.049,1.02485,0,1.023,,,0.00185025,0.01385025,1
0_1-th Autocalled,304.808,1.01699,0,1.023,,,-0.00601471,0.00598529,1
1_6-th Autocalled,224.686,-0.00818372,0.00336451,0.755958,,,-0.00818372,0.00381628,1
0_5-th Autocalled,301.117,1.12831,0,1.115,,,0.0133099,0.0253099,1
1_6-th Autocalled,183.951,-0.0101089,0.00336451,0.618906,,,-0.0101089,0.0018911,1
0_1-th Autocalled,298.079,1.01814,0,1.023,,,-0.00485835,0.00714165,1
0_1-th Autocalled,303.027,1.02589,0,1.023,,,0.00288901,0.01488901,1
0_1-th Autocalled,308.559,1.02501,0,1.023,,,0.00200685,0.01400685,1
